temp_lift,COP,type
32.903000000000006,8.570696152725153,MPC
13.935,6.9599075949980636,MPC
15.382000000000001,7.014522356654389,MPC
20.213,6.773981490972169,MPC
24.240000000000002,5.636335797781995,MPC
24.395999999999997,8.33673271473148,MPC
13.865000000000002,7.036961305518174,MPC
15.656,8.64928466659145,MPC
18.948999999999998,7.047976207137857,MPC
21.392999999999997,6.080255871682259,MPC
23.766,5.7128502726822,MPC
23.57,6.634038282208589,MPC
14.862999999999998,8.468389868667913,MPC
17.072,10.603311786220791,MPC
18.976,7.1476290018075925,MPC
20.412999999999997,6.222650123435019,MPC
21.769,5.9226045809384935,MPC
22.957,5.721171385617642,MPC
24.031999999999996,5.614558219178079,MPC
24.913999999999998,5.477165304980412,MPC
24.129000000000005,7.036296193055119,MPC
15.409,8.323604677480196,MPC
18.043999999999997,10.167860122358169,MPC
21.637,6.850936840652298,MPC
25.138,5.593578393754964,MPC
16.211000000000002,3.993647863247869,MPC
16.314,8.125290382130325,MPC
15.815000000000001,7.196280420046676,MPC
20.269999999999996,6.960754282133404,MPC
23.099,5.818869725864124,MPC
26.563999999999997,5.347776817439738,MPC
28.003999999999998,7.636316324110676,MPC
16.937,8.176623241687984,MPC
19.760999999999996,10.14066708569786,MPC
23.646,6.461929467084641,MPC
27.77,5.130137771332339,MPC
31.908,4.6019645328225085,MPC
35.999,4.2331434541858926,MPC
39.765,3.941853981650477,MPC
39.384,3.8744733663485924,MPC
21.89,6.980945121951224,MPC
26.083,9.860549690356827,MPC
31.33,5.2540766130997865,MPC
36.355,4.245648032467271,MPC
40.372,3.8272339328653637,MPC
40.125,3.8121191230061555,MPC
14.398000000000001,8.608175286241032,MPC
16.444000000000003,6.932854605287759,MPC
21.625999999999998,6.646684203368754,MPC
25.997,5.512597792342189,MPC
30.972,4.793149481819779,MPC
32.369,4.4678765480841145,MPC
32.059,5.1088375034369005,MPC
20.550000000000004,7.542535714285719,MPC
21.315000000000005,9.308223858921163,MPC
24.334000000000003,6.246131138515749,MPC
16.287999999999997,4.345983870967736,MPC
17.168,7.960625480769233,MPC
17.052,7.017238138686131,MPC
20.828000000000003,6.867854509765434,MPC
23.211999999999996,5.794123728553656,MPC
25.506,5.44450775017835,MPC
27.592000000000002,5.105646640060408,MPC
29.541000000000004,4.868576177775157,MPC
31.424000000000003,4.654866412213741,MPC
33.252,4.442486209946258,MPC
32.896,4.5684529983792554,MPC
21.830000000000005,7.262628774129688,MPC
22.672,9.357672536043488,MPC
25.684,6.097518318334311,MPC
25.857999999999997,7.388728116079919,MPC
14.611999999999998,8.812312428407788,MPC
18.4,10.664733229329178,MPC
21.496,6.578895782914419,MPC
20.229,2.9444806188371286,MPC
22.310000000000002,4.670964405923937,MPC
24.516000000000002,5.32762436889936,MPC
26.418999999999997,3.196602878670784,MPC
26.433,0.07757179289026958,MPC
33.602000000000004,3.3835114334357095,MPC
36.198,3.816045466684479,MPC
35.243,3.5885905305964405,MPC
38.408,3.867147560030979,MPC
36.661,3.66262680810029,MPC
40.099999999999994,4.4441369334619045,MPC
31.352000000000004,3.807316037423968,MPC
32.302,3.963581988891826,MPC
34.575,3.6340038131553825,MPC
37.543000000000006,3.973133937082937,MPC
22.695,7.108853261798903,MPC
25.312,5.917565150478795,MPC
26.467999999999996,3.291070927394745,MPC
17.852,8.059526627218943,MPC
20.732000000000003,6.888287352071013,MPC
23.479999999999997,4.953171670260404,MPC
29.462000000000003,4.9840892045974226,MPC
32.097,5.067502689376954,MPC
36.45399999999999,3.4139130668490933,MPC
39.652,3.701902658326819,MPC
36.961999999999996,3.5596290983606504,MPC
39.830999999999996,4.545082786885247,MPC
19.153000000000002,6.325806268234092,conventional
22.358000000000004,7.277831678979399,conventional
24.624000000000002,6.579883805715632,conventional
17.387999999999998,9.197981086760734,conventional
10.127999999999998,9.454871409028726,conventional
11.408,8.076445942852779,conventional
15.641,7.71534410322894,conventional
17.241,6.69626420379004,conventional
18.188000000000002,6.531042958300554,conventional
18.863000000000003,6.386332612946386,conventional
19.996000000000002,6.204361607593664,conventional
21.305999999999997,6.068942283955696,conventional
22.64,5.765955939524839,conventional
23.229,5.561200376395935,conventional
18.918,7.379396751740141,conventional
12.125999999999998,6.638851661617111,conventional
13.04,7.357646692607002,conventional
16.732,7.096890865441378,conventional
18.820999999999998,6.486580417471043,conventional
21.444,6.080628419415159,conventional
22.988,5.667037538736036,conventional
19.173,8.365943640724122,conventional
10.254999999999999,2.5383329485488098,conventional
10.427,18.910986807387882,conventional
12.477000000000002,9.305464908988556,conventional
15.111999999999998,10.799164321237791,conventional
18.079,7.349890543559199,conventional
21.048000000000002,6.1815276301806605,conventional
23.108000000000004,6.11251398135819,conventional
21.456999999999997,11.243010173736105,conventional
13.741000000000001,8.992791888175992,conventional
17.271,12.546908498860306,conventional
20.089999999999996,6.951786053581606,conventional
23.068000000000005,5.74098231858549,conventional
22.803000000000004,9.604384196829903,conventional
13.809999999999999,8.400229075192097,conventional
16.314999999999998,10.4403622445295,conventional
19.788000000000004,7.111293483882095,conventional
22.909,5.8279770509142805,conventional
22.313,9.015478476821192,conventional
12.923,8.8365266504582,conventional
15.048,10.833875069344279,conventional
17.840000000000003,7.453575425161613,conventional
19.956,6.361377448035563,conventional
21.232,5.983950934502423,conventional
17.365,7.473022080471048,conventional
11.761,6.831328441295549,conventional
12.869,7.39684973159653,conventional
16.75,7.241151253685855,conventional
18.360000000000003,6.625057584269667,conventional
20.152,6.292779369627507,conventional
21.683999999999997,5.950914046740464,conventional
